               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073087,            0.046238,             0.02205,             0.59526,             0.78456,             0.63774,             0.38457,            0.048965,            0.023551,           0.0046179,            0.070032,           0.0033298,           0.0033298
                   1,            0.052338,            0.038992,            0.006382,             0.81148,             0.82551,             0.83376,             0.49588,            0.041324,            0.022666,           0.0034291,            0.039999,           0.0066302,           0.0066302
                   2,            0.048293,            0.037649,           0.0048145,             0.86554,             0.86144,             0.88492,             0.56863,            0.038022,            0.022699,           0.0025361,           0.0099326,           0.0098975,           0.0098975
                   3,            0.044218,            0.036844,           0.0037041,             0.86222,             0.87284,             0.87816,             0.57772,            0.036125,            0.022478,           0.0016043,           0.0098515,           0.0098515,           0.0098515
                   4,            0.041349,            0.036819,            0.003341,             0.87545,             0.86915,             0.89191,             0.63199,            0.034355,            0.022142,           0.0012631,           0.0098515,           0.0098515,           0.0098515
                   5,            0.039226,            0.036034,           0.0024701,             0.87033,             0.88744,             0.90301,             0.64224,            0.034229,            0.021756,          0.00096023,            0.009802,            0.009802,            0.009802
                   6,            0.038444,            0.036036,           0.0021708,             0.88066,             0.88311,             0.90512,             0.65687,            0.033291,            0.021476,           0.0010315,           0.0097525,           0.0097525,           0.0097525
                   7,            0.037773,            0.035382,           0.0018357,             0.88123,              0.8791,             0.90522,             0.66659,            0.032644,             0.02166,          0.00075012,            0.009703,            0.009703,            0.009703
                   8,            0.036717,            0.034635,           0.0018978,             0.89073,             0.87507,             0.90941,             0.67134,            0.033439,            0.021571,          0.00091702,           0.0096535,           0.0096535,           0.0096535
                   9,            0.036282,            0.034912,           0.0015859,             0.89443,             0.87743,             0.91445,             0.63284,            0.032977,            0.021357,          0.00064385,            0.009604,            0.009604,            0.009604
