               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028921,            0.020967,           0.0013791,             0.86663,             0.68047,             0.77867,             0.49641,            0.018533,           0.0099034,          0.00074085,           0.0082675,           0.0082675,           0.0082675
                  37,            0.028346,            0.020279,           0.0016987,             0.85143,              0.6565,             0.75027,             0.51583,            0.017987,           0.0097621,          0.00075522,            0.008218,            0.008218,            0.008218
                  38,            0.028269,            0.020119,           0.0017771,             0.77328,             0.70026,             0.78365,             0.52454,            0.017744,             0.01038,           0.0018655,           0.0081685,           0.0081685,           0.0081685
                  39,            0.027889,            0.020235,           0.0021521,             0.80861,             0.64163,             0.79318,              0.4971,            0.017871,            0.010133,          0.00074661,            0.008119,            0.008119,            0.008119
                  40,            0.028195,            0.020538,           0.0018742,             0.84872,             0.61577,             0.74984,             0.50043,            0.018309,           0.0097526,          0.00066409,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027763,            0.020465,            0.002144,             0.70494,             0.66774,             0.71413,             0.46036,            0.018174,            0.009912,          0.00059209,             0.00802,             0.00802,             0.00802
                  42,            0.028047,            0.020794,           0.0017727,             0.87551,             0.68739,             0.77782,             0.47826,            0.018189,            0.010089,          0.00080811,           0.0079705,           0.0079705,           0.0079705
                  43,            0.028088,            0.019871,           0.0015986,             0.80148,             0.65058,              0.7573,             0.51575,            0.018297,            0.010125,          0.00083341,            0.007921,            0.007921,            0.007921
                  44,            0.026813,            0.019835,           0.0023131,             0.82826,             0.68443,             0.77593,             0.50641,             0.01727,           0.0099909,          0.00067467,           0.0078715,           0.0078715,           0.0078715
                  45,            0.026701,            0.019998,           0.0013145,             0.80798,             0.68378,             0.76788,             0.50426,            0.018189,            0.010108,          0.00074252,            0.007822,            0.007822,            0.007822
                  46,            0.026737,            0.019427,           0.0017367,             0.81488,             0.68367,             0.77382,             0.51726,            0.018557,           0.0097148,           0.0006183,           0.0077725,           0.0077725,           0.0077725
                  47,            0.027173,            0.019381,           0.0015014,              0.6572,             0.86604,             0.87294,             0.58565,            0.017648,           0.0098262,          0.00050505,            0.007723,            0.007723,            0.007723
                  48,            0.026737,            0.019474,           0.0012038,             0.77317,             0.69882,             0.77307,             0.51005,            0.017199,            0.010109,          0.00084712,           0.0076735,           0.0076735,           0.0076735
                  49,            0.026261,            0.019642,           0.0018186,              0.8536,             0.67582,             0.79014,             0.51489,            0.017239,           0.0097981,          0.00060539,            0.007624,            0.007624,            0.007624
                  50,            0.026195,             0.01885,           0.0014929,             0.86622,             0.62392,             0.75956,             0.52551,            0.017489,            0.010173,          0.00078112,           0.0075745,           0.0075745,           0.0075745
                  51,            0.026569,            0.018725,           0.0010964,             0.70379,             0.88293,             0.88958,             0.57513,            0.017268,           0.0095659,          0.00057593,            0.007525,            0.007525,            0.007525
                  52,            0.026352,            0.018811,           0.0013161,             0.85594,             0.65758,             0.79353,             0.56587,            0.017212,           0.0099785,          0.00063479,           0.0074755,           0.0074755,           0.0074755
                  53,            0.025081,             0.01888,           0.0014013,             0.78051,             0.66352,             0.76597,             0.50414,            0.017291,           0.0096542,          0.00053295,            0.007426,            0.007426,            0.007426
                  54,            0.026295,            0.018391,           0.0012925,              0.8106,             0.68572,             0.78664,             0.52811,            0.017916,           0.0099503,          0.00062218,           0.0073765,           0.0073765,           0.0073765
                  55,             0.02607,            0.018872,           0.0012173,              0.7343,             0.81528,             0.82482,             0.55281,            0.017492,            0.010096,          0.00055015,            0.007327,            0.007327,            0.007327
                  56,            0.025908,            0.018917,           0.0013609,             0.69828,             0.67218,             0.74167,             0.50154,            0.017075,             0.01015,          0.00046862,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024969,             0.01804,           0.0015946,             0.83499,             0.68083,             0.79356,             0.52226,            0.016954,           0.0098528,          0.00063364,            0.007228,            0.007228,            0.007228
                  58,            0.026605,             0.01884,           0.0014488,              0.6549,             0.68381,             0.71532,             0.50408,            0.016883,             0.01002,          0.00045655,           0.0071785,           0.0071785,           0.0071785
                  59,            0.025873,            0.018334,           0.0013368,             0.88645,             0.68667,             0.75074,             0.51217,            0.017049,            0.010049,          0.00059685,            0.007129,            0.007129,            0.007129
                  60,            0.025515,             0.01845,           0.0014831,             0.76158,             0.59188,             0.73598,             0.49155,            0.017128,           0.0099839,          0.00046277,           0.0070795,           0.0070795,           0.0070795
                  61,            0.025584,            0.018762,           0.0020911,             0.71242,             0.81068,             0.84447,             0.53871,            0.017676,            0.010173,          0.00069913,             0.00703,             0.00703,             0.00703
                  62,            0.025874,            0.019087,           0.0018412,             0.87617,             0.66125,             0.80019,             0.52285,            0.017046,            0.010051,           0.0007098,           0.0069805,           0.0069805,           0.0069805
                  63,             0.02438,            0.017862,           0.0020339,             0.81909,              0.6488,             0.77386,             0.52178,            0.016936,           0.0099779,          0.00094957,            0.006931,            0.006931,            0.006931
                  64,            0.025077,            0.018902,           0.0016511,             0.76866,              0.6902,             0.81152,             0.54883,            0.017776,           0.0098125,          0.00052381,           0.0068815,           0.0068815,           0.0068815
                  65,            0.024922,            0.018439,           0.0012357,             0.88462,             0.64338,             0.79219,             0.53525,              0.0168,            0.010092,          0.00064429,            0.006832,            0.006832,            0.006832
                  66,            0.024611,            0.017902,           0.0013861,             0.88271,             0.69849,             0.80152,             0.54142,             0.01687,            0.010036,          0.00052608,           0.0067825,           0.0067825,           0.0067825
                  67,            0.025248,            0.018104,           0.0013519,             0.86261,             0.67466,             0.88261,             0.55545,            0.017541,           0.0099884,          0.00062336,            0.006733,            0.006733,            0.006733
                  68,             0.02644,            0.018513,            0.001307,             0.63379,             0.83747,             0.82468,             0.54211,            0.017183,            0.010085,          0.00046138,           0.0066835,           0.0066835,           0.0066835
                  69,            0.024078,            0.017515,           0.0011116,             0.73814,             0.92691,             0.88302,             0.54307,             0.01808,            0.010182,          0.00041559,            0.006634,            0.006634,            0.006634
                  70,            0.024828,            0.018121,            0.001235,             0.82443,             0.82945,             0.88259,             0.55832,            0.016948,            0.010217,            0.000731,           0.0065845,           0.0065845,           0.0065845
                  71,            0.024037,            0.017471,           0.0011578,             0.80209,             0.76482,             0.84041,             0.55515,            0.016861,             0.01055,            0.001104,            0.006535,            0.006535,            0.006535
                  72,            0.024002,            0.017618,          0.00087185,             0.83185,             0.72804,              0.8422,              0.5185,            0.016724,             0.01025,          0.00065264,           0.0064855,           0.0064855,           0.0064855
                  73,            0.024385,            0.017337,          0.00085644,             0.90283,             0.85488,              0.9238,             0.55457,            0.017144,           0.0099389,          0.00064237,            0.006436,            0.006436,            0.006436
                  74,            0.023842,             0.01737,           0.0011958,              0.8593,             0.88985,             0.91394,             0.54253,            0.018134,            0.010319,           0.0004829,           0.0063865,           0.0063865,           0.0063865
                  75,               0.025,            0.017467,           0.0011711,             0.81235,             0.60231,             0.80622,             0.54565,            0.017092,            0.010421,          0.00050876,            0.006337,            0.006337,            0.006337
                  76,            0.023602,            0.017181,          0.00083717,             0.87716,             0.87926,             0.92912,             0.57604,            0.017042,            0.010093,          0.00031821,           0.0062875,           0.0062875,           0.0062875
                  77,            0.023278,            0.017493,          0.00091179,              0.7412,             0.69235,             0.80427,             0.55467,            0.017332,            0.010132,          0.00047633,            0.006238,            0.006238,            0.006238
                  78,            0.024093,            0.017657,          0.00095054,             0.88119,             0.66696,             0.81036,             0.55528,            0.016837,            0.010335,          0.00049566,           0.0061885,           0.0061885,           0.0061885
                  79,              0.0234,            0.017313,          0.00099162,              0.8931,             0.75696,             0.86938,             0.56504,            0.017172,            0.010219,          0.00088927,            0.006139,            0.006139,            0.006139
                  80,            0.023219,            0.016924,          0.00099897,             0.87347,             0.80583,             0.84662,              0.5485,            0.016514,            0.010113,          0.00059959,           0.0060895,           0.0060895,           0.0060895
                  81,             0.02382,             0.01716,          0.00086058,             0.76516,             0.78591,             0.83736,             0.54913,            0.016938,             0.01025,          0.00050659,             0.00604,             0.00604,             0.00604
                  82,             0.02352,             0.01672,          0.00083759,             0.78501,             0.69904,             0.81511,               0.538,            0.017372,            0.010376,          0.00046434,           0.0059905,           0.0059905,           0.0059905
                  83,             0.02251,            0.016476,           0.0012352,              0.8369,             0.68105,               0.808,             0.54403,            0.017473,            0.010329,          0.00059688,            0.005941,            0.005941,            0.005941
